id,deal_name,customer_code,serial_no,nature_of_work,last_executed_month,execution_status,data_delivery_date,date_of_po,document_type,start_date,end_date,kam_code,sector,type_of_work,software_platform,last_invoice_date,invoice_no,amount_excl_gst,amount_incl_gst,billed_excl_gst,billed_incl_gst,collected_incl_gst,to_be_billed_excl_gst,to_be_billed_incl_gst,amount_receivable,ar_priority,invoice_status,actual_billing_month,wo_status,caveats
SDPLDEAL-172,Alias_160,WOCOMPANY_051,SDPLDEAL-172,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,53644.2,63300.156,0.0,0.0,0.0,53644.2,63300.156,0.0,Normal,Not billed yet,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-173,Alias_160,WOCOMPANY_051,SDPLDEAL-173,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,51852.3604,61185.78527,0.0,0.0,0.0,51852.3604,61185.78527,0.0,Normal,Not billed yet,,Open,['Project Completed but unbilled / missing invoice date']
SDPLDEAL-174,Octopus,WOCOMPANY_002,SDPLDEAL-174,One time Project,,Ongoing,,2025-12-20,Purchase Order,2025-12-20,2026-01-31,OWNER_003,Mining,Others,NONE,,,43162.0,50931.16,0.0,0.0,0.0,43162.0,50931.16,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-175,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-175,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802.0,341966.36,0.0,0.0,0.0,289802.0,341966.36,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-176,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-176,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802.0,341966.36,0.0,0.0,0.0,289802.0,341966.36,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-177,Alphonse,WOCOMPANY_009,SDPLDEAL-177,Monthly Contract,,Not Started,,2025-12-16,Purchase Order,2025-11-01,2026-03-31,OWNER_005,Renewables,Surveillance- needs continues monitoring,SPECTRA + DMO,,,462450.0,545691.0,184980.0,218276.4,213910.872,277470.0,327414.6,4365.528,Normal,Partially Billed,,Open,[]
SDPLDEAL-178,Whale,WOCOMPANY_004,SDPLDEAL-178,Proof of Concept,,Completed,,,Purchase Order,,,OWNER_002,Powerline,"Thermography, LiDAR Survey: LiDAR, Powerline Inspection",SPECTRA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Fully Billed,,Closed,"['Missing PO/LOI Date', 'Zero amount work order']"
SDPLDEAL-179,Squirtle,WOCOMPANY_049,SDPLDEAL-179,Proof of Concept,,Ongoing,,2025-12-24,Purchase Order,2025-12-24,2025-12-31,OWNER_002,Powerline,Powerline Inspection,SPECTRA,,,55494.0,65482.92,0.0,0.0,0.0,55494.0,65482.92,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-180,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-180,One time Project,,Ongoing,,2025-12-29,Email Confirmation,2025-12-31,2026-01-31,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968.0,349242.24,0.0,0.0,0.0,295968.0,349242.24,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-181,Turtle,WOCOMPANY_024,SDPLDEAL-181,Proof of Concept,,Details pending from Client,,2026-01-01,Purchase Order,2026-01-12,2026-02-12,OWNER_004,Mining,Mine survey,SPECTRA,,,184980.0,218276.4,0.0,0.0,0.0,184980.0,218276.4,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-182,Bugs Bunny,WOCOMPANY_028,SDPLDEAL-182,One time Project,,Not Started,,2026-01-12,Email Confirmation,2026-01-09,2026-03-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,8986062.029,10603553.19,0.0,0.0,0.0,8986062.029,10603553.19,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-185,Bulbasaur,WOCOMPANY_050,SDPLDEAL-185,One time Project,,Not Started,,2026-01-09,Email Confirmation,2026-01-12,2026-01-16,OWNER_004,Others,Others,SPECTRA,,,139072.8968,164106.0182,164106.0182,193645.1015,69560.56979,-25033.12142,-29539.08328,124084.5317,Priority,Fully Billed,,Open,[]
SDPLDEAL-186,Timon,WOCOMPANY_046,SDPLDEAL-186,One time Project,,Ongoing,,2026-01-06,Purchase Order,2026-01-13,2026-01-30,OWNER_001,Renewables,Others,NONE,,,209027.4,246652.332,0.0,0.0,0.0,209027.4,246652.332,0.0,Normal,Not billed yet,,Open,[]
SDPLDEAL-187,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-187,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-06-30,OWNER_003,Renewables,Others,NONE,,,610434.0,720312.12,0.0,0.0,0.0,610434.0,720312.12,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-188,Ben Tennyson,WOCOMPANY_033,SDPLDEAL-188,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-02-28,OWNER_003,Renewables,Others,NONE,,,215810.0,254655.8,0.0,0.0,0.0,215810.0,254655.8,0.0,Normal,Partially Billed,,Open,[]
SDPLDEAL-189,Unknown Deal,WOCOMPANY_045,SDPLDEAL-189,Proof of Concept,,Ongoing,,2026-01-09,Purchase Order,2026-01-17,2026-03-31,OWNER_003,Railways,Others,NONE,,,1035854.087,1222307.823,0.0,0.0,0.0,1035854.087,1222307.823,0.0,Normal,Partially Billed,,Open,[]
